Date,Event Name,Team 1,Team 2,Plex Name,Kodi Name,Kodi Name 2
03.01.2023,RAW #1545,,,WWE.2023-01-02.RAW.#1545.mkv,WWE.2023-01-02.RAW.#1545.S2023E1.mkv,WWE.2023-01-02.RAW.#1545.mkv
04.01.2023,NXT #662,,,WWE.2023-01-03.NXT.#662.mkv,WWE.2023-01-03.NXT.#662.S2023E2.mkv,WWE.2023-01-03.NXT.#662.mkv
07.01.2023,SmackDown #1220,,,WWE.2023-01-06.SmackDown.#1220.mkv,WWE.2023-01-06.SmackDown.#1220.S2023E3.mkv,WWE.2023-01-06.SmackDown.#1220.mkv
07.01.2023,NXT Level Up #47,,,WWE.2023-01-06.NXT.Level.Up.#47.mkv,WWE.2023-01-06.NXT.Level.Up.#47.S2023E4.mkv,WWE.2023-01-06.NXT.Level.Up.#47.mkv
10.01.2023,RAW #1546,,,WWE.2023-01-09.RAW.#1546.mkv,WWE.2023-01-09.RAW.#1546.S2023E5.mkv,WWE.2023-01-09.RAW.#1546.mkv
11.01.2023,NXT #663 New Years Evil,,,WWE.2023-01-10.NXT.#663.New.Years.Evil.mkv,WWE.2023-01-10.NXT.#663.New.Years.Evil.S2023E6.mkv,WWE.2023-01-10.NXT.#663.New.Years.Evil.mkv
14.01.2023,SmackDown #1221,,,WWE.2023-01-13.SmackDown.#1221.mkv,WWE.2023-01-13.SmackDown.#1221.S2023E7.mkv,WWE.2023-01-13.SmackDown.#1221.mkv
14.01.2023,NXT Level Up #48,,,WWE.2023-01-13.NXT.Level.Up.#48.mkv,WWE.2023-01-13.NXT.Level.Up.#48.S2023E8.mkv,WWE.2023-01-13.NXT.Level.Up.#48.mkv
17.01.2023,RAW #1547,,,WWE.2023-01-16.RAW.#1547.mkv,WWE.2023-01-16.RAW.#1547.S2023E9.mkv,WWE.2023-01-16.RAW.#1547.mkv
18.01.2023,NXT #664,,,WWE.2023-01-17.NXT.#664.mkv,WWE.2023-01-17.NXT.#664.S2023E10.mkv,WWE.2023-01-17.NXT.#664.mkv
21.01.2023,SmackDown #1222,,,WWE.2023-01-20.SmackDown.#1222.mkv,WWE.2023-01-20.SmackDown.#1222.S2023E11.mkv,WWE.2023-01-20.SmackDown.#1222.mkv
21.01.2023,NXT Level Up #49,,,WWE.2023-01-20.NXT.Level.Up.#49.mkv,WWE.2023-01-20.NXT.Level.Up.#49.S2023E12.mkv,WWE.2023-01-20.NXT.Level.Up.#49.mkv
24.01.2023,RAW #1548 RAW Is XXX,,,WWE.2023-01-23.RAW.#1548.RAW.Is.XXX.mkv,WWE.2023-01-23.RAW.#1548.RAW.Is.XXX.S2023E13.mkv,WWE.2023-01-23.RAW.#1548.RAW.Is.XXX.mkv
25.01.2023,NXT #665,,,WWE.2023-01-24.NXT.#665.mkv,WWE.2023-01-24.NXT.#665.S2023E14.mkv,WWE.2023-01-24.NXT.#665.mkv
28.01.2023,SmackDown #1223,,,WWE.2023-01-27.SmackDown.#1223.mkv,WWE.2023-01-27.SmackDown.#1223.S2023E15.mkv,WWE.2023-01-27.SmackDown.#1223.mkv
28.01.2023,NXT Level Up #50,,,WWE.2023-01-27.NXT.Level.Up.#50.mkv,WWE.2023-01-27.NXT.Level.Up.#50.S2023E16.mkv,WWE.2023-01-27.NXT.Level.Up.#50.mkv
29.01.2023,Royal Rumble 2023,,,WWE.2023-01-28.Royal.Rumble.2023.mkv,WWE.2023-01-28.Royal.Rumble.2023.S2023E17.mkv,WWE.2023-01-28.Royal.Rumble.2023.mkv
31.01.2023,RAW #1549,,,WWE.2023-01-30.RAW.#1549.mkv,WWE.2023-01-30.RAW.#1549.S2023E18.mkv,WWE.2023-01-30.RAW.#1549.mkv
01.02.2023,NXT #666,,,WWE.2023-01-31.NXT.#666.mkv,WWE.2023-01-31.NXT.#666.S2023E19.mkv,WWE.2023-01-31.NXT.#666.mkv
04.02.2023,SmackDown #1224,,,WWE.2023-02-03.SmackDown.#1224.mkv,WWE.2023-02-03.SmackDown.#1224.S2023E20.mkv,WWE.2023-02-03.SmackDown.#1224.mkv
04.02.2023,NXT Level Up #51,,,WWE.2023-02-03.NXT.Level.Up.#51.mkv,WWE.2023-02-03.NXT.Level.Up.#51.S2023E21.mkv,WWE.2023-02-03.NXT.Level.Up.#51.mkv
05.02.2023,NXT Vengeance Day,,,WWE.2023-02-04.NXT.Vengeance.Day.mkv,WWE.2023-02-04.NXT.Vengeance.Day.S2023E22.mkv,WWE.2023-02-04.NXT.Vengeance.Day.mkv
07.02.2023,RAW #1550,,,WWE.2023-02-06.RAW.#1550.mkv,WWE.2023-02-06.RAW.#1550.S2023E23.mkv,WWE.2023-02-06.RAW.#1550.mkv
08.02.2023,NXT #667,,,WWE.2023-02-07.NXT.#667.mkv,WWE.2023-02-07.NXT.#667.S2023E24.mkv,WWE.2023-02-07.NXT.#667.mkv
11.02.2023,SmackDown #1225,,,WWE.2023-02-10.SmackDown.#1225.mkv,WWE.2023-02-10.SmackDown.#1225.S2023E25.mkv,WWE.2023-02-10.SmackDown.#1225.mkv
11.02.2023,NXT Level Up #52,,,WWE.2023-02-10.NXT.Level.Up.#52.mkv,WWE.2023-02-10.NXT.Level.Up.#52.S2023E26.mkv,WWE.2023-02-10.NXT.Level.Up.#52.mkv
14.02.2023,RAW #1551,,,WWE.2023-02-13.RAW.#1551.mkv,WWE.2023-02-13.RAW.#1551.S2023E27.mkv,WWE.2023-02-13.RAW.#1551.mkv
15.02.2023,NXT #668,,,WWE.2023-02-14.NXT.#668.mkv,WWE.2023-02-14.NXT.#668.S2023E28.mkv,WWE.2023-02-14.NXT.#668.mkv
18.02.2023,SmackDown #1226,,,WWE.2023-02-17.SmackDown.#1226.mkv,WWE.2023-02-17.SmackDown.#1226.S2023E29.mkv,WWE.2023-02-17.SmackDown.#1226.mkv
18.02.2023,NXT Level Up #53,,,WWE.2023-02-17.NXT.Level.Up.#53.mkv,WWE.2023-02-17.NXT.Level.Up.#53.S2023E30.mkv,WWE.2023-02-17.NXT.Level.Up.#53.mkv
19.02.2023,Elimination Chamber 2023,,,WWE.2023-02-18.Elimination.Chamber.2023.mkv,WWE.2023-02-18.Elimination.Chamber.2023.S2023E31.mkv,WWE.2023-02-18.Elimination.Chamber.2023.mkv
21.02.2023,RAW #1552,,,WWE.2023-02-20.RAW.#1552.mkv,WWE.2023-02-20.RAW.#1552.S2023E32.mkv,WWE.2023-02-20.RAW.#1552.mkv
22.02.2023,NXT #669,,,WWE.2023-02-21.NXT.#669.mkv,WWE.2023-02-21.NXT.#669.S2023E33.mkv,WWE.2023-02-21.NXT.#669.mkv
25.02.2023,SmackDown #1227,,,WWE.2023-02-24.SmackDown.#1227.mkv,WWE.2023-02-24.SmackDown.#1227.S2023E34.mkv,WWE.2023-02-24.SmackDown.#1227.mkv
25.02.2023,NXT Level Up #54,,,WWE.2023-02-24.NXT.Level.Up.#54.mkv,WWE.2023-02-24.NXT.Level.Up.#54.S2023E35.mkv,WWE.2023-02-24.NXT.Level.Up.#54.mkv
28.02.2023,RAW #1553,,,WWE.2023-02-27.RAW.#1553.mkv,WWE.2023-02-27.RAW.#1553.S2023E36.mkv,WWE.2023-02-27.RAW.#1553.mkv
01.03.2023,NXT #670,,,WWE.2023-02-28.NXT.#670.mkv,WWE.2023-02-28.NXT.#670.S2023E37.mkv,WWE.2023-02-28.NXT.#670.mkv
04.03.2023,SmackDown #1228,,,WWE.2023-03-04.SmackDown.#1228.mkv,WWE.2023-03-04.SmackDown.#1228.S2023E38.mkv,WWE.2023-03-04.SmackDown.#1228.mkv
04.03.2023,NXT Level Up #55,,,WWE.2023-03-04.NXT.Level.Up.#55.mkv,WWE.2023-03-04.NXT.Level.Up.#55.S2023E39.mkv,WWE.2023-03-04.NXT.Level.Up.#55.mkv
07.03.2023,RAW #1554,,,WWE.2023-03-06.RAW.#1554.mkv,WWE.2023-03-06.RAW.#1554.S2023E40.mkv,WWE.2023-03-06.RAW.#1554.mkv
08.03.2023,NXT #671 Roadblock,,,WWE.2023-03-07.NXT.#671.Roadblock.mkv,WWE.2023-03-07.NXT.#671.Roadblock.S2023E41.mkv,WWE.2023-03-07.NXT.#671.Roadblock.mkv
11.03.2023,NXT Level Up #56,,,WWE.2023-03-11.NXT.Level.Up.#56.mkv,WWE.2023-03-11.NXT.Level.Up.#56.S2023E42.mkv,WWE.2023-03-11.NXT.Level.Up.#56.mkv
11.03.2023,SmackDown #1229,,,WWE.2023-03-11.SmackDown.#1229.mkv,WWE.2023-03-11.SmackDown.#1229.S2023E43.mkv,WWE.2023-03-11.SmackDown.#1229.mkv
14.03.2023,RAW #1555,,,WWE.2023-03-14.RAW.#1555.mkv,WWE.2023-03-14.RAW.#1555.S2023E44.mkv,WWE.2023-03-14.RAW.#1555.mkv
15.03.2023,NXT #672,,,WWE.2023-03-15.NXT.#672.mkv,WWE.2023-03-15.NXT.#672.S2023E45.mkv,WWE.2023-03-15.NXT.#672.mkv
18.03.2023,SmackDown #1230,,,WWE.2023-03-18.SmackDown.#1230.mkv,WWE.2023-03-18.SmackDown.#1230.S2023E46.mkv,WWE.2023-03-18.SmackDown.#1230.mkv
18.03.2023,NXT Level Up #57,,,WWE.2023-03-17.NXT.Level.Up.#57.mkv,WWE.2023-03-17.NXT.Level.Up.#57.S2023E47.mkv,WWE.2023-03-17.NXT.Level.Up.#57.mkv
21.03.2023,RAW #1556,,,WWE.2023-03-21.RAW.#1556.mkv,WWE.2023-03-21.RAW.#1556.S2023E48.mkv,WWE.2023-03-21.RAW.#1556.mkv
22.03.2023,NXT #673,,,WWE.2023-03-22.NXT.#673.mkv,WWE.2023-03-22.NXT.#673.S2023E49.mkv,WWE.2023-03-22.NXT.#673.mkv
25.03.2023,SmackDown #1231,,,WWE.2023-03-25.SmackDown.#1231.mkv,WWE.2023-03-25.SmackDown.#1231.S2023E50.mkv,WWE.2023-03-25.SmackDown.#1231.mkv
25.03.2023,NXT Level Up #58,,,WWE.2023-03-25.NXT.Level.Up.#58.mkv,WWE.2023-03-25.NXT.Level.Up.#58.S2023E51.mkv,WWE.2023-03-25.NXT.Level.Up.#58.mkv
28.03.2023,RAW #1557,,,WWE.2023-03-28.RAW.#1557.mkv,WWE.2023-03-28.RAW.#1557.S2023E52.mkv,WWE.2023-03-28.RAW.#1557.mkv
29.03.2023,NXT #674,,,WWE.2023-03-29.NXT.#674.mkv,WWE.2023-03-29.NXT.#674.S2023E53.mkv,WWE.2023-03-29.NXT.#674.mkv
01.04.2023,SmackDown #1232,,,WWE.2023-04-01.SmackDown.#1232.mkv,WWE.2023-04-01.SmackDown.#1232.S2023E54.mkv,WWE.2023-04-01.SmackDown.#1232.mkv
01.04.2023,NXT Level Up #59,,,WWE.2023-04-01.NXT.Level.Up.#59.mkv,WWE.2023-04-01.NXT.Level.Up.#59.S2023E55.mkv,WWE.2023-04-01.NXT.Level.Up.#59.mkv
01.04.2023,NXT Stand and Deliver Kickoff,,,WWE.2023-04-01.NXT.Stand.and.Deliver.Kickoff.mkv,WWE.2023-04-01.NXT.Stand.and.Deliver.Kickoff.S2023E56.mkv,WWE.2023-04-01.NXT.Stand.and.Deliver.Kickoff.mkv
01.04.2023,NXT Stand and Deliver,,,WWE.2023-04-01.NXT.Stand.and.Deliver.mkv,WWE.2023-04-01.NXT.Stand.and.Deliver.S2023E57.mkv,WWE.2023-04-01.NXT.Stand.and.Deliver.mkv
