Date,Event Name,Team 1,Team 2,Plex Name,Kodi Name,Kodi Name 2
01.09.2022,,HC Erlangen,HSG Wetzlar,German.Handball-Bundesliga.2022-09-01.HC.Erlangen.vs.HSG.Wetzlar.mkv,German.Handball-Bundesliga.2022-09-01.HC.Erlangen.vs.HSG.Wetzlar.S2022-2023E1.mkv,German.HandballBundesliga.20220901.HC.Erlangen.vs.HSG.Wetzlar.special
01.09.2022,,TBV Lemgo,VfL Gummersbach,EHF.European.League.2022-09-01.TBV.Lemgo.vs.VfL.Gummersbach.mkv,EHF.European.League.2022-09-01.TBV.Lemgo.vs.VfL.Gummersbach.S2022-2023E1.mkv,EHF.European.League.20220901.TBV.Lemgo.vs.VfL.Gummersbach.special
01.09.2022,,Handball Sport Verei,SG Flensburg-Handewi,German.Handball-Bundesliga.2022-09-01.Handball.Sport.Verein.Hamburg.vs.SG.Flensburg-Handewitt.mkv,German.Handball-Bundesliga.2022-09-01.Handball.Sport.Verein.Hamburg.vs.SG.Flensburg-Handewitt.S2022-2023E1.mkv,German.HandballBundesliga.20220901.Handball.Sport.Verein.Hamburg.vs.SG.FlensburgHandewitt.special
01.09.2022,,TSV Hannover-Burgdor,SC DHfK Leipzig,German.Handball-Bundesliga.2022-09-01.TSV.Hannover-Burgdorf.vs.SC.DHfK.Leipzig.mkv,German.Handball-Bundesliga.2022-09-01.TSV.Hannover-Burgdorf.vs.SC.DHfK.Leipzig.S2022-2023E1.mkv,German.HandballBundesliga.20220901.TSV.HannoverBurgdorf.vs.SC.DHfK.Leipzig.special
03.09.2022,,Rhein-Neckar Löwen,MT Melsungen,German.Handball-Bundesliga.2022-09-03.Rhein-Neckar.Löwen.vs.MT.Melsungen.mkv,German.Handball-Bundesliga.2022-09-03.Rhein-Neckar.Löwen.vs.MT.Melsungen.S2022-2023E1.mkv,German.HandballBundesliga.20220903.RheinNeckar.Löwen.vs.MT.Melsungen.special
04.09.2022,,SC Magdeburg,ASV Hamm-Westfalen,EHF.Champions.League.2022-09-04.SC.Magdeburg.vs.ASV.Hamm-Westfalen.mkv,EHF.Champions.League.2022-09-04.SC.Magdeburg.vs.ASV.Hamm-Westfalen.S2022-2023E1.mkv,EHF.Champions.League.20220904.SC.Magdeburg.vs.ASV.HammWestfalen.special
04.09.2022,,Füchse Berlin,TPSG Frisch Auf Göp,EHF.European.League.2022-09-04.Füchse.Berlin.vs.TPSG.Frisch.Auf.Göppingen.mkv,EHF.European.League.2022-09-04.Füchse.Berlin.vs.TPSG.Frisch.Auf.Göppingen.S2022-2023E1.mkv,EHF.European.League.20220904.Füchse.Berlin.vs.TPSG.Frisch.Auf.Göppingen.special
04.09.2022,,THW Kiel,TVB 1898 Stuttgart,German.Handball-Bundesliga.2022-09-04.THW.Kiel.vs.TVB.1898.Stuttgart.mkv,German.Handball-Bundesliga.2022-09-04.THW.Kiel.vs.TVB.1898.Stuttgart.S2022-2023E1.mkv,German.HandballBundesliga.20220904.THW.Kiel.vs.TVB.1898.Stuttgart.special
04.09.2022,,GWD Minden,Bergischer HC,German.Handball-Bundesliga.2022-09-04.GWD.Minden.vs.Bergischer.HC.mkv,German.Handball-Bundesliga.2022-09-04.GWD.Minden.vs.Bergischer.HC.S2022-2023E1.mkv,German.HandballBundesliga.20220904.GWD.Minden.vs.Bergischer.HC.special
07.09.2022,,Bergischer HC,TSV Hannover-Burgdor,German.Handball-Bundesliga.2022-09-07.Bergischer.HC.vs.TSV.Hannover-Burgdorf.mkv,German.Handball-Bundesliga.2022-09-07.Bergischer.HC.vs.TSV.Hannover-Burgdorf.S2022-2023E2.mkv,German.HandballBundesliga.20220907.Bergischer.HC.vs.TSV.HannoverBurgdorf.special
07.09.2022,,SG Flensburg-Handewi,GWD Minden,EHF.European.League.2022-09-07.SG.Flensburg-Handewitt.vs.GWD.Minden.mkv,EHF.European.League.2022-09-07.SG.Flensburg-Handewitt.vs.GWD.Minden.S2022-2023E2.mkv,EHF.European.League.20220907.SG.FlensburgHandewitt.vs.GWD.Minden.special
07.09.2022,,TPSG Frisch Auf Göp,TBV Lemgo,EHF.European.League.2022-09-07.TPSG.Frisch.Auf.Göppingen.vs.TBV.Lemgo.mkv,EHF.European.League.2022-09-07.TPSG.Frisch.Auf.Göppingen.vs.TBV.Lemgo.S2022-2023E2.mkv,EHF.European.League.20220907.TPSG.Frisch.Auf.Göppingen.vs.TBV.Lemgo.special
07.09.2022,,HSG Wetzlar,Füchse Berlin,German.Handball-Bundesliga.2022-09-07.HSG.Wetzlar.vs.Füchse.Berlin.mkv,German.Handball-Bundesliga.2022-09-07.HSG.Wetzlar.vs.Füchse.Berlin.S2022-2023E2.mkv,German.HandballBundesliga.20220907.HSG.Wetzlar.vs.Füchse.Berlin.special
07.09.2022,,SC DHfK Leipzig,THW Kiel,German.Handball-Bundesliga.2022-09-07.SC.DHfK.Leipzig.vs.THW.Kiel.mkv,German.Handball-Bundesliga.2022-09-07.SC.DHfK.Leipzig.vs.THW.Kiel.S2022-2023E2.mkv,German.HandballBundesliga.20220907.SC.DHfK.Leipzig.vs.THW.Kiel.special
08.09.2022,,VfL Gummersbach,SC Magdeburg,German.Handball-Bundesliga.2022-09-08.VfL.Gummersbach.vs.SC.Magdeburg.mkv,German.Handball-Bundesliga.2022-09-08.VfL.Gummersbach.vs.SC.Magdeburg.S2022-2023E2.mkv,German.HandballBundesliga.20220908.VfL.Gummersbach.vs.SC.Magdeburg.special
08.09.2022,,ASV Hamm-Westfalen,Rhein-Neckar Löwen,German.Handball-Bundesliga.2022-09-08.ASV.Hamm-Westfalen.vs.Rhein-Neckar.Löwen.mkv,German.Handball-Bundesliga.2022-09-08.ASV.Hamm-Westfalen.vs.Rhein-Neckar.Löwen.S2022-2023E2.mkv,German.HandballBundesliga.20220908.ASV.HammWestfalen.vs.RheinNeckar.Löwen.special
08.09.2022,,MT Melsungen,Handball Sport Verei,German.Handball-Bundesliga.2022-09-08.MT.Melsungen.vs.Handball.Sport.Verein.Hamburg.mkv,German.Handball-Bundesliga.2022-09-08.MT.Melsungen.vs.Handball.Sport.Verein.Hamburg.S2022-2023E2.mkv,German.HandballBundesliga.20220908.MT.Melsungen.vs.Handball.Sport.Verein.Hamburg.special
08.09.2022,,TVB 1898 Stuttgart,HC Erlangen,German.Handball-Bundesliga.2022-09-08.TVB.1898.Stuttgart.vs.HC.Erlangen.mkv,German.Handball-Bundesliga.2022-09-08.TVB.1898.Stuttgart.vs.HC.Erlangen.S2022-2023E2.mkv,German.HandballBundesliga.20220908.TVB.1898.Stuttgart.vs.HC.Erlangen.special
10.09.2022,,TSV Hannover-Burgdor,SG Flensburg-Handewi,German.Handball-Bundesliga.2022-09-10.TSV.Hannover-Burgdorf.vs.SG.Flensburg-Handewitt.mkv,German.Handball-Bundesliga.2022-09-10.TSV.Hannover-Burgdorf.vs.SG.Flensburg-Handewitt.S2022-2023E3.mkv,German.HandballBundesliga.20220910.TSV.HannoverBurgdorf.vs.SG.FlensburgHandewitt.special
10.09.2022,,Füchse Berlin,TVB 1898 Stuttgart,EHF.European.League.2022-09-10.Füchse.Berlin.vs.TVB.1898.Stuttgart.mkv,EHF.European.League.2022-09-10.Füchse.Berlin.vs.TVB.1898.Stuttgart.S2022-2023E3.mkv,EHF.European.League.20220910.Füchse.Berlin.vs.TVB.1898.Stuttgart.special
10.09.2022,,TBV Lemgo,MT Melsungen,EHF.European.League.2022-09-10.TBV.Lemgo.vs.MT.Melsungen.mkv,EHF.European.League.2022-09-10.TBV.Lemgo.vs.MT.Melsungen.S2022-2023E3.mkv,EHF.European.League.20220910.TBV.Lemgo.vs.MT.Melsungen.special
11.09.2022,,THW Kiel,Bergischer HC,German.Handball-Bundesliga.2022-09-11.THW.Kiel.vs.Bergischer.HC.mkv,German.Handball-Bundesliga.2022-09-11.THW.Kiel.vs.Bergischer.HC.S2022-2023E3.mkv,German.HandballBundesliga.20220911.THW.Kiel.vs.Bergischer.HC.special
11.09.2022,,HC Erlangen,TPSG Frisch Auf Göp,German.Handball-Bundesliga.2022-09-11.HC.Erlangen.vs.TPSG.Frisch.Auf.Göppingen.mkv,German.Handball-Bundesliga.2022-09-11.HC.Erlangen.vs.TPSG.Frisch.Auf.Göppingen.S2022-2023E3.mkv,German.HandballBundesliga.20220911.HC.Erlangen.vs.TPSG.Frisch.Auf.Göppingen.special
